codigoPedido,codigoCliente,nitRestaurante,cantidad,hora;
82101,University of Luxemburg,United States Air Force Academy,4243964491,pchismon9h;
94231,Baikal National University of Economics and Law,Knowledge International University,7528934445,wmohan9i;
"61183,""Institute of Teachers Education, Temenggong Ibrahim"",Allianze College of Medical Sciences (ACMS),5595581522,jeglaise9j";
025,Ecole Supérieure de Commerce de Clermont-Ferrand,Faculté Universitaire des Sciences Agronomiques de Gembloux,4216378315,kdugdale9k;
36573,University of Illinois at Chicago,Bowling Green State University,8798558226,floughead9l;
5755,Jacksonville University,Université Badji Mokhtar,8670030640,breadwing9m;
E0102,Takoradi Polytechnic ,Al-Nasser University,1079043314,wsapson9n;
85106,Minhaj University Lahore,St. George's University,8027472083,wslayford9o;
"9279,""California State University, Fresno"",Universidad Técnica de Babahoyo,4333920981,adentith9p";
"E8653,""Institute of Teachers Education, Darul Aman"",Instituto Superior de Ciências Empresariais e de Turismo,8360189307,aterrington9q";
"94840,""Institute of Teachers Education, Darul Aman"",Semnan University of Medical Sciences,6446678134,ichrystal9r";
"E8502,""National American University, Albuquerque"",Fachhochschule München,0533148820,svandale9s";
1121,Humboldt Universität Berlin,West Suburban College of Nursing,3666001521,jheineken9t;
0239,Mills College,National Sports Academy Sofia,8323309116,afreke9u;
37271,Dominican University,Université Paris Nord (Paris XIII),0694021539,dwithams9v;
67404,Université de Picardie Jules-Verne,Moulana Azad national Urdu University,8455977698,omcgivena9w;
E8494,Escuela Militar de Ingeniería,Ecole Normale Supérieure de Cachan,5897351562,igervaise9x;
66951,Berry College,Chongqing Vocational College of Public Transportation,5745438657,pmarti9y;
01093,Université de Versailles Saint-Quentin-en-Yvelines,Waynesburg College,8512602139,mosan9z;
4644,National Technical University (Kharkiv Polytechnical Institute),Tomball College,4770758170,aephsona0;
00803,Catholic University of the Sacred Heart,Evangelische Fachhochschule Hannover,4820927248,tmunktona1;
9944,Nortre Dame Seishin University,University of Novi Sad,8254456348,eschermicka2;
9933,University of Verona,Niigata University of Management,1858088771,lbrecona3;
62401,Modern University For Technology and Information,Universidad Nacional de Formosa,0434637769,kpuntera4;
66620,Justus Liebig Universität Gießen,University of Peshawar,9873900799,gwelbanda5;
V8802,Argosy University - Hawaii,Karaganda State Technical University,1718236034,bvaseya6;
"V014,Universidade Metodista de Angola,""Universidad Nacional Experimental """"Francisco de Miranda"""""",6143076812,sspringthorpea7";
82001,Universidad Católica de Manizales,Gdynia Maritime Academy,4929235383,garntzena8;
62921,Université Notre Dame d'Haïti,University of Wroclaw,1953576230,nvanyushina9;
45919,International School of Management ISM Dortmund,Omsk State Medicical Academy,3308132915,fjanzenaa;
9661,Universitas Negeri Padang,Universitas Bung Hatta,5370877106,cshearaab;
01565,Volgograd Medical Academy,University of Verona,4014219992,cwindrassac;
6171,Academia Nacional Superior de Orquesta,Universidad de Medellín,5457828484,mbernasekad;
E8178,Tay Nguyen University,University of Northumbria at Newcastle,5151301020,dmacallisterae;
37842,Ecole Nationale des Sciences Géographiques,Université de la Méditerranée (Aix Marseille II),7426355438,pdenzilowaf;
79516,St. Andrews Presbyterian College,South China University of Technology,4707655432,aspinettiag;
38812,Universitas Pelita Harapan,Technological University (Pathein),1407893858,lgouckah;
65630,Universidad de Bologna - Representación en Buenos Aires,Niigata University of Management,1802786686,mneateai;
07033,Griffith University,North Ossetian State University,0291598250,mbrashieraj;
"47811,""Hochschule für Bankwirtschaft (HfB), Private Fachhochschule der Bankakademie"",Université de Blida,4024745352,dperettak";
8362,International Business School of Scandinavia,Louisiana State University at Alexandria,9191255708,pbuttal;
E887,Universitas Mahendradatta,Morehead State University,0672064359,fchampkinam;
47411,Baker College of Owosso,South China Agricultural University,1952416590,npepperillan;
"67022,Indiana University - Northwest,""University of California, Irvine"",8069714689,gtallachao";
"32736,""University of Wales Institute, Cardiff"",""Islamic Azad University, Dehaghan"",5330047730,lkleynap";
51909,Technical University of Wroclaw,Felician College,5246342794,rruddiforthaq;
"30273,University of Macau,""University of Asia Pacific, Dhanmondi"",7635883410,moutramar";
V3101,Dublin City University,Texas Chiropractic College,5759461761,bmacdonoghas;
52459,Fondazione Sacro Cuore,Universiti Malaysia Kelantan,5881110382,ewarnerat;
99972,Hochschule für Technik und Wirtschaft Karlsruhe,University of the South Pacific School of Agriculture,2179209193,obohlsenau;
E8441,Bellevue University,Ross University Caribbean School of Veterinary Medicine,2425645314,tcudbirdav;
71911,Northwest University,McKendree College,6983759648,sporrettaw;
65523,University of Engineering and Technology Taxila,National University of Uzbekistan,4692501502,aespinelax;
01485,Universitas Negeri Yogyakarta,Osaka International University for Women,2529064741,mduberyay;
32301,Växjö University,Catholic University in Ruzomberok,2974044859,oleehaneaz;
72401,Palestine Technical College-Dier Elbalah,Johns Hopkins University,1073149285,bsaylesb0;
"3940,Maritime University Constanta,""Troy University, Montgomery"",7601578747,ocaffb1";
74103,University of Delaware,Kent State University - East Liverpool,3997123543,eyemmb2;
64894,University of Lower Silesia of the Association for the Advancement of Education in Wroclaw.,National Taiwan Ocean University,9025744435,rduplantierb3;
3732,Universidade Católica de Pernambuco,Universität Konstanz,5226418175,epfliegerb4;
29642,Beloit College,Indira Gandhi Institute of Medical Sciences,7190918612,mpaulettib5;
"80046,University of Southern Mississippi,""École nationale d'administration publique, Université du Québec"",6757577224,clanganb6";
09882,Auburn University at Montgomery,Tietgen Business College,3144668303,meagleshamb7;
"09049,International Medical & Technological University,""University of California, Berkeley"",6343483977,lloudianb8";
V2881,Roanoke Bible College,Silpakorn University,6176930073,nhurryb9;
34409,Shikoku University,Gonabad University of Medical Sciences,8209344978,jtootingba;
94315,Lincoln University San Francisco,Royal College of Art,0231148143,ksemoninbb;
E9857,Williams College,Bishop's University,7450857677,amaryonbc;
74359,Universidad Nacional de Río Cuarto,Kyushu Sangyo University,8096467751,hbaintonbd;
0362,Gorgan University of Agricultural Sciences and Natural Resources,Universidad Nacional Daniel Alcides Carrion,4716691861,hkennhambe;
71619,Hamilton Technical College,California University of Management and Sciences,2875871544,fsuchbf;
73026,Johnson & Wales University,Fachhochschule Lübeck,0021843228,jgoudardbg;
E8703,St. Joseph College,Kyungwon University,8994639314,gpabstbh;
27540,University of Illinois at Urbana-Champaign,University of Lancaster,2840509784,slindholmbi;
"34692,Southern University - New Orleans,""Institute of Teachers Education, Raja Melewar"",0868307432,efoskinbj";
7294,Universidad Técnica de Babahoyo,Université de Lubumbashi,6357062561,ehurdedgebk;
"94112,""Moldova State University of Medicine and Pharmacy """"N. Testemitsanu"""""",University of Delhi,5299145489,adivinybl";
6930,Universidade Salvador,Universitas HKBP Nommensen,3333913984,jblagdenbm;
80511,Universidad Antonio Nariño,Centre Universitaire de Tiaret,2193477124,zlatliffbn;
V065,Montserrat College of Art,Universidad Ciencias Comerciales,1440182507,lmcenenybo;
E8312,University of Split,Southwestern University,0449845516,cmurcottbp;
37946,Central Michigan University,Whitworth College,6813059238,wreddishbq;
71857,Florida University of Medicine,Politeknik Pos Indonesia,2666622010,rphilsonbr;
24970,Corporación Universitaria de la Costa (UNICOSTA),National University of Shipbuilding,0240600355,ebrogginibs;
56985,Université de Provence (Aix-Marseille I),Ursinus College,4387748656,nfaltinbt;
"36541,""Schiller International University, Paris"",Salam University,8046599158,hblairbu";
"0942,South Asian Institute of Technology And Medicine (SAITM) ,""Institute of Teachers Education, Ilmu Khas"",6981103141,wlackneybv";
"E8765,Mangalore University,""Concordia College, Selma"",0732509246,cyoakleybw";
E8718,Peace College,Air Force Institute of Technology,4086040166,agreensidesbx;
"1613,Kabul Education University,""BGC Trust University, Bangladesh"",7446589736,cfreckletonby";
40200,Taif University,Fisk University,4779542456,lmarlinbz;
84219,University of Maryland (System),San Beda College,3158282267,fpaviec0;
52133,University of Regina Carmeli,Free University of Tbilisi,6069277651,hcussenc1;
2250,Universitas Pakuan,HWP - Hamburger Universität für Wirtschaft und Politik,1255093153,elaynec2;
2693,Webster University,Tashkent State Agrarian University,8864609210,cmassingerc3;
"6021,""Jain University, Centre for Management Studies"",University of Science and Culture,5692994887,rpolglazec4";
7765,Uva Wellassa University,Kyoto Seika University,1380538831,tharrismithc5;
80410,College of New Caledonia,Shaheed Beheshti University of Medical Sciences,0226197441,kceillierc6;
8921,Agnes Scott College,Marmara University,2303217261,lpennamanc7;
37170,University of Baghdad,Universidad Tecnológica Oteima,8492004614,hrisleyc8;
V7652,Nasarawa State University Keffi,Open Polytechnic ,1913696383,asansonc9;
"80363,Minsk Institute of Management,""Katholieke Universiteit Leuven, Campus Kortrijk"",8533473567,hmatthewsca";
4957,University of Lapland,Agricultural University of Plovdiv,5574931346,telderedcb;
E9584,Arab Academy for Banking and Financial Sciences,Tokyo University of Fisheries,2807163556,krosevearcc;
71630,Institucion Universitaria de Envigado,Samara State University of Economics,6427143239,dolenovcd;
70705,Universität Leipzig,Louisiana State University at Eunice,6451525170,dhalburtonce;
"71292,National University of Kiev-Mohyla Academy,""Universidad """"Juan Agustín Maza"""""",7973918655,jcharlsoncf";
81304,Universidad Centro Occidental Lisandro Alvarado,Iwate University,4491286957,gmillsoncg;
E9423,People' s Friendship University of Russia,Birjand University of Medical Sciences,6442496864,vsimoesch;
E8105,Nanjing Forestry University,Roger Williams University,9911695417,sshimwellci;
"0721,The Petroleum Institute,""Arizona State University, Polytechnic Campus"",5868003640,swaithcj";
80441,Mie University,Jigjiga University,0733788521,jloitertonck;
99664,Universidad de Norteamerica,National Institute of Development Administration,7694938722,wharmescl;
66311,Ecole d'Architecture de Nancy,College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),3921717744,jculloteycm;
65670,Far Easten State University of Humanities,FAAP - Fundação Armando Alvares Penteado,9973583280,dbarbiercn;
V1011,DIPLOMA-Fachhochschule Ölsnitz/Vogtland,Nizhny Novgorod State Technical University,2013601948,dgainco;
4379,Maasai Mara University,Salisbury State University,2470117526,cmcasgillcp;
34682,Nangarhar University,Universidad Politécnica de Cartagena,6997983529,jcurnockcq;
80709,California Coast University,Al-hikmah University,9248072399,atitheringtoncr;
01152,Morehead State University,Fundação Educacional de Ituverava,6130768931,ggiaomozzocs;
6028,NAES College,Technical University of Szczecin,2916679375,zstiegarsct;
2830,Université Gaston Berger Saint-Louis,Vietnam Maritime University,2464361062,kdaviecu;
01011,Inönü University,Universidad Nacional del Comahue,6400311270,vbouldoncv;
1721,University College of Cape Breton,Hainan University,3070574475,egleycw;
71147,Södertörn University College,Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble,0171600177,acadigancx;
53170,Jai Prakash University,Red Sea University,5435973589,sponcefordcy;
29284,University of Aden,University of Technical Education Ho Chi Minh City,9563594959,asirmancz;
41513,Jones International University,Diaconia University of Applied Sciences,6789916245,gwollastond0;
1226,Andhra University,Saint Louis College,0983522715,bshardd1;
00863,Ittihad University,Drake University,5006768045,ncasinid2;
78050,Sevastopol National Technical University,Meijo University,1285407202,mhaglingtond3;
"63552,Universidad Blas Pascal,""Goldsmiths College, University of London"",3087293709,wscoatesd4";
37332,Biysk State Padagogical University after V.M. Shukshin ,China Academy of Art,4169952138,xwassond5;
62133,Central Christian College of the Bible,King's University College,9234158393,aplummerd6;
"65283,Walailak University,""Arkansas State University, Beebe"",0138270031,hbrimmacombed7";
"3577,""Troy University, Troy"",""American University Extension, Okinawa"",9363582248,yaxelbeyd8";
73302,Kocaeli University,Universitas Bhayangkara Surabaya,0091383056,csieged9;
22809,Lafayette College,Oakwood College,6451356271,ktetfordda;
94433,Swarthmore College,Universidade da Madeira,3044305373,ddishmandb;
71936,University of Technology Phnom Penh,Malekan Payame Nour University,8662749151,jchassondc;
"V219,Rice University,""Rasmussen College, Illinois Campuses"",0078179416,tgarnamdd";
5770,Mother Teresa Women's University,Indiana University at Bloomington,2704189420,ddoolede;
36332,La Trobe University,University of Delaware,1580932894,lburderdf;
5967,Ferdowsi University of Mashhad,Moldova Cooperative Trade University,2455155285,escarffdg;
01166,Ulsan University,Universidad de La Laguna,6962009798,msalmonsdh;
1468,Zhanjiang Ocean University,Qufu Normal University,5023993477,adezamoradi;
E9370,Kobe International University,Kanagawa Dental College,8518264723,lmcmanamondj;
"37313,""Management Development Institute of Singapore, Tashkent"",College of Mount St. Vincent,2463036400,gthomazindk";
4920,Aegean University,Humber College,0627343430,kjosefovicdl;
5712,Technical University of Timisoara,Karachi Medical and Dental College,6292617491,dsterrickdm;
7856,University of Bialystok,Mazandaran University of Medical Science,3418168159,icondondn;
1599,University of Malawi,Dutch Delta University,1885394500,lmarriotdo;
69460,DeVry Institute of Technology,Kherson State University,4802667841,mwardingtondp;
38052,Institute of Social Studies,Pratt Institute,7244226993,dlanchesterdq;
83900,University of Southern Europe (Monaco Business School),Universidade Gama Filho,2917267089,pmarchisodr;
52473,University College of Trollhättan/Uddevalla,University of Padua,1328104117,dambrosettids;
30591,Södertörn University College,University of New South Wales,4055911505,tmaycockdt;
V143,North Park University,Université de Monastir,6814887444,mmacnairdu;
E9201,Taibah University,Intercollege,0175237212,nphilcoxdv;
64682,Cedar Crest College,Escuela Superior de Gestion Comercial y Marketing (ESIC),4823976991,kglentworthdw;
0061,Woosuk University,Universität Rostock,0018691226,aconnerrydx;
8832,Hampton University,American Jewish University,3593297051,vtukesbydy;
81417,American University of the Caribbean,Sibelius Academy,0348229569,vdolbydz;
28866,Japan Advanced Institute of Science and Technology,St. Petersburg State Pediatric Medical Academy,3339276501,wpearse0;
E9285,University of Maine (System),Saratov State Medical University,1349542083,tcoylee1;
81221,Academy of Sports and Physical Training,Universidad de Pamplona,4854427019,kseedhousee2;
5171,ITT Technical Institute Indianapolis,University of South Bohemia,1242664327,cdunstonee3;
9518,Universidad Andina Simón Bolívar,Donetsk State Medical University,4544185645,afallae4;
E8637,Technological University (Mawlamyaing),University of Texas of the Permian Basin,1828257508,cpinxtone5;
3077,Kyoto Prefectural University of Medicine,Katholieke Hogeschool Kempen,5747259393,kbenglee6;
29666,Shizuoka Prefectural University,Bryn Mawr College,1198131586,lperritte7;
01165,Northwestern College Iowa,Delaware State University,5927545483,hesseline8;
76515,South Dakota State University,University of Arkansas (System),3907992059,jhalsalle9;
29554,Igbinedion University,University of Benin,3897472198,bdugallea;
31211,University of International Business and Economics,Ecole Supérieure d'Ingénieurs en Génie Electrique,8358037104,rwindaybankeb;
"63452,Bethel College Mishawaka,""Islamic Azad University, Roodehen"",0656093609,jcaberasec";
E9495,Universität Hannover,Yangtze Normal University,9513441849,dlangmeaded;
65920,Al-Yamamah College,Technische Universität Ilmenau,5098704790,tstorksee;
64273,United States Sports Academy,Mimar Sinan University,6633404050,gdonoef;
5171,Antioch University Santa Barbara,Adamson University,9180445675,kmayoheg;
74303,Strayer University,Pomona College,2798509335,lleflemingeh;
"63412,""Arkansas State University, Newport"",Albright College,0299645916,jacresei";
37712,Huanghe Science & Technology University,Universidade Federal de Santa Maria,3708172426,imaccomiskeyej;
5274,Universidad Nacional de Educación Enrique Guzmán y Valle,Al-Manar University,2650362383,tbthamek;
V8530,Open University of the Netherlands,Auburn University,5934557890,mshaldersel;
01626,Georgia Baptist College of Nursing,University of West Florida,8807389142,dfurbankem;
"38915,North University of Baia Mare,""Global Open University , Nagaland"",3319458051,skennificken";
"V553,Anhui Technical College of Water Resources and Hydroelectric Power,""Swiss Federal Institute of Technology, Zurich"",3865928463,fmencieo";
67910,Université de N'Djamena,Hansung University Seoul,6841839714,lbenoixep;
"63632,Mesa State College,""University of the West of England, Bristol"",7455442041,gmcquilleneq";
630,Quaid-i-Azam University,Khabarovsk State Academy of Economics and Law,6735039939,dabreyer;
2914,Dalian Polytechnic University,Tezpur University,1179125649,hstreeteres;
1251,Fukuoka University,Université Michel de Montaigne (Bordeaux III ),0505047047,jtossellet;
67112,Ecole Supérieure de Commerce de Toulouse,Nanyang Technological University,9870895824,dmatthauseu;
01626,Universidade de Passo Fundo,University of Piraeus,8278091366,scorbridgeev;
64981,University of Newcastle-upon-Tyne,Universidad Autónoma Juan Misael Saracho,6107563032,mollerew;
0729,Faculdades Integradas Curitiba,Université d'Orléans,3186898102,spendellex;
69555,Uganda Martyr's University,University of North Texas,9045414899,ncallejaey;
80709,Universidad Chapultepéc,Vitebsk State Medical University,5788383331,vgrainez;
01771,Dickinson State University,Universidad ICESI,8860709970,ebreemf0;
630,Technological University (Myeik),University of Arkansas for Medical Sciences,8278840180,edilgarnof1;
57411,Universidad Tecnológica de México,Mankato State University,8208223271,wmacelanef2;
71999,Private College of Dentistry and Pharmacy,Dhaka International University,5471783336,ebragaf3;
"9301,""Fachhochschule Kempten, Hochschule für Technik und Wirtschaft"",University Canada West,2361144204,kclaybornf4";
43391,Ecole Française de Papeterie et des Industries Graphiques,Kandahar University,3282048351,jhurdlef5;
75983,Sendai University,Pan Africa Christian University,9814791253,cfoulshamf6;
E0093,University of Iceland,Universität Innsbruck,8610466302,qturnpennyf7;
65593,Uzbek State World Languages University,Universidade de Guarulhos,4708271956,cshetlifff8;
71597,Universitas Terbuka Indonesia,Winona State University,0134616871,toloughlinf9;
78930,Biysk State Padagogical University after V.M. Shukshin ,Senshu University,2742630392,ssoaresfa;
71946,Brussels Management School (ICHEC),Huachiew Chalermprakiet University,4539494198,mdurmanfb;
56200,Moldova State University,Kocaeli University,3982396425,lmccroaryfc;
0902,University of Wollongong,National Dong Hwa University,2612874445,lhayhoefd;
1144,Physical Education Academy in Katowice,Universität für Musik und darstellende Kunst Graz,0736882359,jnelfe;
61804,Woodbury University,University of Trento,6892131042,kknealeff;
E8170,Ecole d'Architecture de Nancy,Sun Yat-Sen University of Medical Sciences,1100192158,gellamanfg;
8469,Northwestern College of Chiropractic,Universidad Juan Misael Saracho,2640030663,mclercfh;
1536,Rajasthan Technical University,Universität Linz,8810565770,cmowsleyfi;
9736,Technological Education Institute of Kozani,Irbid National University,7505375563,jsneesbiefj;
"3679,""Bahauddin Zakariya University, Multan"",Universidad Pedagógica Veracruzana,3819563865,aworstallfk";
1713,New College of Florida,Hochschule Zittau/Görlitz (FH),1404884599,lboggishfl;
V679,Tianjin University of Finance & Economics,Université Laval,2282722620,pcoppockfm;
71589,Guilan University,Hochschule Fulda,3497677744,taubrunfn;
E8298,University of the Philippines Baguio,Universidad Dr. Andreas Bello,3699877760,sredsullfo;
9283,Zhengzhou University of Technology,Gazi University Ankara,8748461113,bsnariefp;
0228,Bangabandhu Sheikh Mujibur Rahman Agricultural University,IDRAC (Institut de recherche en action commerciale),4003219163,esorrofq;
V9011,Gandhara Institute of Medical Sciences,Xi'an Highway University,6650892114,mkelkfr;
E8325,University Lucian Blaga of Sibiu,Azerbaijan State Oil Academy,6236274924,ivawtonfs;
E8322,Indiana Wesleyan University,Escuela de Administración de Negocios,7578346733,jnendickft;
64383,Université d'Avignon,Iran University of Science and Technology Tehran,4739108844,smountstephenfu;
90234,Al Ahlia University,Lewis University,4448005232,bsandilandsfv;
87343,Universidad de la Sierra A.C.,Southern Taiwan University of Technology,6203421189,tbourdonfw;
17311,Universidad de Vigo, Technological University (Yangon),3243421438,bwellwoodfx;
78051,College of Europe,Business School Lausanne (BSL),4540947761,agerriefy;
67142,Estonian Academy of Arts,Copperbelt University,4044045283,clicasfz;
1140,Open University Malaysia,Université d'Etat d'Haiti,3422510834,ecescottig0;
80413,Chicago State University,FAE Business School - Faculdade de Administração e Economia,9534256986,ldiesg1;
53140,Kitami Institute of Technology,Kyushu Women's University,9629140330,mconeybeareg2;
2878,Government College University Faisalabad,Dogus University,9489770590,mfavelg3;
09489,East China Normal University,Nichols College,7352684204,sfiging4;
9174,Southern College of Optometry,Lewis and Clark College,5295522601,ocuthillg5;
86399,Universidad Mayor de San Simón,Université de Blida,6466646394,dchuggg6;
V8271,Hochschule für Jüdische Studien Heidelberg,Escola Superior de Artes e Design,5325862294,dricciardig7;
9723,Jaipur National University,Hokkaido University of Education,8516824810,splamping8;
01282,Akaki Tsereteli State University,St. Petersburg StateMechnikov  Medical Academy,9748296474,epuckettg9;
"V1269,""Evangelische Fachhochschule für Religionspädagogik, und Gemeindediakonie Moritzburg"",Institut Teknologi Bandung,9517967373,aharrowingga";
36050,Camberwell College of Arts,Port Said University,0282706062,bbatergb;
90183,University of Texas at Arlington,University of Lagos,7940388681,eflorygc;
56738,Université de Bretagne Occidentale,Wright Institute,2520745363,gcramondgd;
83815,Fudan University,Mazandaran University of Iran,4089378052,bwilletsge;
36454,University of Arkansas at Pine Bluff,ENIC Telecom Lille 1,8790556836,jrostengf;
2851,South Valley University,University of South Australia,4661072499,jspiresgg;
01650,Universidad del Valle de Guatemala,Sultan Abdul Halim Muadzam Shah Polytechnic,4428764677,agochgh;
71953,Freie Kunst-Studienstätte Ottersberg,Hochschule Bremerhaven,3621753753,ostickellsgi;
7713,Theologische Fakultät Paderborn,Institut National des Sciences Appliquées de Lyon,3628504643,cstoodleygj;
"67384,""Florida Metropolitan University, Tampa College Brandon"",Ecole Nationale d'Ingénieurs de Metz,5563049698,gjudgegk";
65431,University of Education Hradec Kralove,International University College of Technology Twintech (IUCTT),1493438565,bsarfattigl;
"V5883,""Dai Ichi University, College of Technology"",Princess Sumaya University for Technology,6497861084,obatistelligm";
05321,University of Sargodha,Fukuyama University,4568639905,hjaggersgn;
53086,Curry College,Virginia College,8389405075,bgerretsengo;
65110,Institut National des Sciences Appliquées de Lyon,Universitas Cenderawasih,7188113467,lblumiregp;
72992,Siena Heights University,Belarussian State Agricultural Academy,3258751587,kpetrakgq;
V2132,Tokuyama University,College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),3956000927,wfarnishgr;
04502,Sri Venkateswara University,Universidad Central de Venezuela,1956645063,ywozencroftgs;
71808,Kyoto Pharmaceutical University,Universidad Tecnológica de Panamá,7930486842,ebraunesgt;
V8909,Bangladesh University of Business & Technology,TaiChung Healthcare and Management University,8947919012,koherlihygu;
1887,Millersville University of Pennsylvania,University of St. Francis,6428944529,aparrisgv;
61681,Sir Syed Institute Of Technology Islamabad,Mofid University,0580708829,pbretherickgw;
37000,University of Delhi,University of Lausanne,8841217936,ezumfeldegx;
1500,St. Petersburg State Cinema and TV University,Kohinoor School of Hospitality Management,5853649477,emelettigy;
74446,Universidad Catolica del Norte,Jamestown College,3153564043,dtarbettgz;
E9419,Séchenyi István University,Teikyo University of Science and Technology,8521045514,echildsh0;
"29551,""Swiss Federal Institute of Technology, Lausanne"",McMurry University,8997254197,probbelh1";
1642,Hochschule Magdeburg-Stendal (FH),K.N.Toosi University of Technology,6740919976,ndallinh2;
V4612,Wudanshan Taoist College ,Ramkhamhaeng University,8524893877,tscroggsh3;
0841,Otsuma Women's University,Blue Nile University,2981538152,nsaxbyh4;
E8001,Universität Linz,Universidad Mayor de San Andrés,3380035971,bspilemanh5;
90441,Centro Universitário de João Pessoa,Grace College,4239563046,ihaydenh6;
5948,Afe Babalola University,Universidad Rafael Landívar,8567869153,jshankleh7;
2168,Tunghai University,Fatih University,7076545268,mmcgaughieh8;
"64400,Chalmers University of Technology,""Islamic Azad University, Shahryar"",0189622830,mbaybutth9";
94225,Dominion College,Pädagogische Hochschule Karlsruhe,3212860006,eheavisideha;
38052,Christendom College,Tuskegee University,3614731723,stimberlakehb;
E8846,Tohoku University of Art and Design,Ashiya University,5965674589,lbarriehc;
1178,Universidad Nacional de Quilmes,Omsk State Transport University,7223233826,apentecosthd;
63662,Kuching Polytechnic,Dalarna University College,8014367189,sharesignhe;
20055,Eastern Kentucky University,Kampala International University,0267624778,pthomhf;
82310,American University in Cairo,Dominica State College,9430671901,edaubyhg;
V663,Yunnan Normal University,Ecole National d'Agriculture de Meknes,0208667164,fsahnowhh;
81210,American University of the Caribbean,Royal Melbourne Institute of Technology,5430358576,leretthi;
79581,Universidade Estadual do Maranhão,Alaska Bible College,9622298575,smullinhj;
36283,Mendel University of Agriculture and Forestry,Université de Saida,1317031350,amiddlemasshk;
64761,Madurai Kamaraj University,Alvernia College,5841377701,hdarlassonhl;
V609,Universidade Independente,Rockhurst College,9223426553,apensomhm;
9771,Universidad Nacional Autonoma de Nicaragua,Abant Izzet Baysal University,6373389650,pbenkinhn;
V1581,Universidad de Las Palmas de Gran Canaria,Ebonyi State University,5538361373,farkellho;
V550,Université Badji Mokhtar,International University of Kyrgyzstan,4931002730,dwadelinhp;
V695,International University of Travnik,National Chung Cheng University,8394280323,cmatticcihq;
87212,Université de Marne la Vallée,Iran University of Science and Technology Tehran,5840882240,abletsoehr;
29211,University College Dublin,Seigakuin University,9021225972,nruddinhs;
1561,Concordia University College of Alberta,Syktyvkar State University,6240787078,aduerht;
66580,Mohan Lal Sukhadia University,Université des Sciences et Technologies de Lille (Lille I),6928424079,egavinihu;
01102,Lincoln University Missouri,Arab Open University,6760094743,lelsiehv;
"9093,""Universidad Pedagógica """"José Martí"""", Camagüey"",Universidad Tecnológica de Panamá,6772806557,rashlinghw";
20121,Université Panthéon-Assas (Paris II),Higher School o Business/National Louis University(WSB/NLU) in Nowy Sacz,2286533091,mlambardhx;
29020,Sarajevo Film Academy,Universidad Católica del Uruguay,0699027845,lipsleyhy;
80026,Kanto Gakuen University,Universitas Bhayangkara Surabaya,1456041460,flethbrighz;
E8246,University of Richmond,Mount Olive College,8824291007,ehilletti0;
80608,Deakin University,Erasmushogeschool Brussel,2684042365,ssigarti1;
"7707,Universidad de Vigo,""Télé-université, Université du Québec"",8984362913,hrubinsohni2";
V2541,Colegio de Estudios Superiores de Administración (CESA),Fiji National University ,2181964750,emaunselli3;
72081,Ondo State University of Science and Technology,Universidad Popular del Cesar,1954175558,slockyeri4;
"920,Fontys University of Applied Sciences,""Institute Of Technology, Australia"",7139144648,hcalcutti5";
29561,Tokyo International University,Universidad de Murcia,1577198050,rwhitemani6;
E8159,Central Buganda University,Dravidian University,5622708354,ttutheri7;
E8931,Tianjin Normal University,University of Venda,5520949204,sgiacobinii8;
30390,University of New Haven,Lafayette College,0370643216,rroddai9;
"80093,""Merz Akademie, Hochschule für Gestaltung Stuttgart"",Universidad de Tarapacá,7543169398,mdurrandia";
"94329,Mazandaran University of Iran,""Instituto Politécnico Nacional, Campus Guanajuato"",7169606550,wdrakeleyib";
7964,Allahabad University,Instituto Superior de Gestão - ISG,9770704466,eelnaughic;
4581,Pennsylvania State University Delaware County,Military Institute of Science and Technology,5367956831,kcoyshid;
V4551,American University of Afghanistan,Taif University,8979374674,cbaystonie;
65494,Kun Shan University,Bharathiar University,8229866287,jmcerlaineif;
20036,Kyushu Dental College,Redeemer College,3497419370,jburnandig;
51631,University Lucian Blaga of Sibiu,Islamic University of Medinah,3873166208,pkidnerih;
65573,Knightsbridge University,DIPLOMA-Fachhochschule Ölsnitz/Vogtland,1147181721,mgudgeonii;
"72190,Instituto Politécnico Nacional,""University of Maine, Fort Kent"",1124959750,dcalfij";
5693,State University of New York College at Geneseo,Institut Teknologi Brunei,8036054779,jkittik;
E9922,American Business & Technology University,Kerman Graduate University of Technology,1966721137,nbooijil;
0079,Universidad de Guayaquil,Bowling Green State University,5490622911,gdenajeraim;
"6248,""St. Joseph's College New York, Suffolk Campus"",Kotelawala Defence University,8494283820,mquarringtonin";
"1872,""Balti State University """"Alecu Russo"""""",Saratov State Agrarian University,7674511103,jciottoio";
8873,Universidad Tecnologica Israel,Western Bible College,4812384788,sairtonip;
E9458,Universidad Técnica Particular de Loja,Universitas Islam Sultan Agung,5473469264,apaceiq;
65501,Universidad Marcelino Champagnat,Conservatoire National des Arts et Métiers,9022208079,ocrittenir;
2808,Toyama University of International Studies,Ashkelon Academic College,4865151052,oocorriganeis;
90000,Ahsanullah University of Science & Technology,Louisiana State University at Alexandria,9949880629,dlipmannit;
6395,People's University of Bangladesh,Universiti Malaysia Perlis,1899436677,dcrosthwaiteiu;
